-0.68269,-2.5128,-1.3435,0.30422,3.9185,-1.8959,7.8081,-1.0023,1
-1.018,1.2881,1.4233,1.0307,1.7969,3.1856,4.2696,-0.61381,1
-1.5652,-0.85605,0.092011,3.9426,-0.44767,2.7502,8.7549,2.0254,3
-2.2343,3.7842,4.6362,0.025215,5.5316,8.0532,3.6101,4.429,2
0.26301,0.35126,3.139,5.433,-1.2965,1.7745,-3.5847,0.051386,1
-1.8912,-2.5276,4.7846,-0.69451,-0.003587,-0.013592,1.1134,-0.74338,3
1.3362,-0.37597,-0.37068,-0.52126,-0.53846,0.2654,5.3302,2.767,1
-2.3999,-2.3816,2.3712,2.2599,2.2766,-1.265,-0.25336,3.1182,1
0.50781,-2.0338,2.4967,3.7527,1.217,-0.89655,2.6115,3.445,1
1.9725,-1.0654,-1.8065,0.33138,1.2217,1.599,0.44934,-1.3785,3
-0.14119,2.7366,3.8577,-3.676,7.1444,2.1651,3.747,3.6104,2
-3.3716,-0.4575,3.9599,-1.8059,5.0665,7.6816,3.3394,4.6549,2
-1.6631,0.45465,-1.3199,-0.59842,-1.1749,0.62795,-3.2495,4.1449,1
-0.90683,-2.0932,-0.60058,-1.3131,-0.26378,1.6508,-0.49937,1.2556,3
3.4692,-0.42499,3.0745,-0.19843,-0.63024,-1.9713,15.384,3.1353,3
-2.0763,-1.5938,-0.53321,-0.64713,-0.057877,0.66766,0.80768,0.82815,3
-0.32964,1.9682,0.75925,-0.97228,0.82064,0.52632,-0.3249,3.3232,1
2.9948,-1.1045,-0.4264,3.1559,0.049593,-2.2211,-4.1807,2.369,1
-0.67977,-1.4334,2.1322,-1.0996,2.4744,0.26376,1.0038,0.028416,3
-1.4089,3.4445,2.4672,-1.4424,1.8663,11.029,-1.563,5.1503,3
-0.46145,3.8797,6.22,4.1108,6.2966,0.84661,3.6473,6.0947,2
-1.9427,-2.2089,4.6926,0.77091,-0.76389,2.8796,-4.6152,-1.8523,1
2.8347,-1.1928,-1.1315,3.7888,1.3741,-1.1436,6.8897,2.6812,3
